name,base_channels,depth,parameter_count,macs_per_slice,flops_per_slice,receptive_field_proxy_pixels,largest_single_activation_bytes,input_shape,output_shape,parameter_relative_difference_to_res,mac_relative_difference_to_res
plain_unet_w54_d4,54,4,22098694,30189542400,60379084800,215,12441600,1x4x240x240,1x4x240x240,3.96549429136636,2.19151890101325
plain_unet_w55_d4,55,4,22924499,31315680000,62631360000,215,12672000,1x4x240x240,1x4x240x240,4.151049601253985,2.310569709664848
plain_unet_w56_d4,56,4,23765452,32462438400,64924876800,215,12902400,1x4x240x240,1x4x240x240,4.340008610361375,2.431800467653936
plain_unet_w57_d4,57,4,24621553,33629817600,67259635200,215,13132800,1x4x240x240,1x4x240x240,4.532371318688528,2.5552111749805144
plain_unet_w58_d4,58,4,25492802,34817817600,69635635200,215,13363200,1x4x240x240,1x4x240x240,4.728137726235447,2.680801831644583
plain_unet_w59_d4,59,4,26379199,36026438400,72052876800,215,13593600,1x4x240x240,1x4x240x240,4.927307833002131,2.808572437646142
plain_unet_w60_d4,60,4,27280744,37255680000,74511360000,215,13824000,1x4x240x240,1x4x240x240,5.1298816389885795,2.938522992985191
plain_unet_w61_d4,61,4,28197437,38505542400,77011084800,215,14054400,1x4x240x240,1x4x240x240,5.335859144194792,3.07065349766173
plain_unet_w62_d4,62,4,29129278,39776025600,79552051200,215,14284800,1x4x240x240,1x4x240x240,5.545240348620769,3.2049639516757598
plain_unet_w63_d4,63,4,30076267,41067129600,82134259200,215,14515200,1x4x240x240,1x4x240x240,5.758025252266512,3.3414543550272797
plain_unet_w64_d4,64,4,31038404,42378854400,84757708800,215,14745600,1x4x240x240,1x4x240x240,5.974213855132018,3.48012470771629
plain_unet_w4_d5,4,5,487520,211509248,423018496,439,921600,1x4x240x240,1x4x240x240,0.8904560705294653,0.9776400796743743
plain_unet_w5_d5,5,5,761189,327603200,655206400,439,1152000,1x4x240x240,1x4x240x240,0.8289636648142705,0.9653670866891834
plain_unet_w6_d5,6,5,1095574,468983808,937967616,439,1382400,1x4x240x240,1x4x240x240,0.7538285998815402,0.9504208885424785
plain_unet_w7_d5,7,5,1490675,635651072,1271302144,439,1612800,1x4x240x240,1x4x240x240,0.6650508757312741,0.93280148523426
plain_unet_w8_d5,8,5,1946492,827604992,1655209984,439,1843200,1x4x240x240,1x4x240x240,0.5626304923634723,0.9125088767645276
plain_unet_w9_d5,9,5,2463025,1044845568,2089691136,439,2073600,1x4x240x240,1x4x240x240,0.4465674497781349,0.8895430631332814
plain_unet_w10_d5,10,5,3040274,1287372800,2574745600,439,2304000,1x4x240x240,1x4x240x240,0.31686174797526184,0.8639040443405214
plain_unet_w11_d5,11,5,3678239,1555186688,3110373376,439,2534400,1x4x240x240,1x4x240x240,0.17351338695485313,0.8355918203862475
plain_unet_w12_d5,12,5,4376920,1848287232,3696574464,439,2764800,1x4x240x240,1x4x240x240,0.016522366716908755,0.8046063912704599
plain_unet_w13_d5,13,5,5136317,2166674432,4333348864,439,2995200,1x4x240x240,1x4x240x240,0.15411131273857126,0.7709477569931584
plain_unet_w14_d5,14,5,5956430,2510348288,5020696576,439,3225600,1x4x240x240,1x4x240x240,0.33838765141158694,0.7346159175543431
plain_unet_w15_d5,15,5,6837259,2879308800,5758617600,439,3456000,1x4x240x240,1x4x240x240,0.5363066493021383,0.695610872954014
plain_unet_w16_d5,16,5,7778804,3273555968,6547111936,439,3686400,1x4x240x240,1x4x240x240,0.7478683064102253,0.6539326231921712
plain_unet_w17_d5,17,5,8781065,3693089792,7386179584,439,3916800,1x4x240x240,1x4x240x240,0.9730726227358479,0.6095811682688144
