comparison_id,comparison_role,first_candidate,second_candidate,metric,formal_hypothesis_test,paired_patient_count,excluded_nonfinite_pair_count,paired_mean_difference,paired_median_difference,paired_bootstrap_lower,paired_bootstrap_upper,standardized_paired_effect_dz,permutation_p_value,holm_adjusted_p_value,reject_holm_alpha_0_05
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_surface_dice,False,74,0,-0.016153091547221256,-0.018055976662153583,-0.022442320624156145,-0.009736636123757397,-0.5691818073421698,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_surface_dice,False,74,0,-0.008684010803807887,-0.006169394959493091,-0.013651219529681447,-0.004005390625694638,-0.4078592891984745,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_surface_dice,False,74,0,-0.0036903374266683965,-0.0038089924102727157,-0.012334123737787183,0.004879745440096652,-0.09843174300965038,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_lesion_recall,False,74,0,0.00566148080853963,0.0,-0.0009765169581346061,0.012999880132233067,0.18165815132529678,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_lesion_recall,False,74,0,0.004312526812526812,0.0,-0.000276758901758901,0.00955705705705705,0.19635080559096554,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_lesion_recall,False,69,5,-0.0012064269915932318,0.0,-0.0066278656457684545,0.0036338283767951285,-0.05553073154633153,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_lesion_precision,False,74,0,-0.0369598102113955,-0.019269921255215372,-0.05231695666183128,-0.02356165288788113,-0.5809049846158342,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_lesion_precision,False,72,2,0.00810575565030027,0.0032583834874708797,-0.015778133307675034,0.0320724150195323,0.07775811013240566,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_lesion_precision,False,71,3,0.01934810779330554,0.0034888357256778746,0.0007075302059277895,0.03938822760701639,0.23563358719739638,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_lesion_wise_dice,False,74,0,-0.0005630952447590537,-0.00030803784028332615,-0.004021186801032681,0.0025194996667755815,-0.039260815758833334,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_lesion_wise_dice,False,74,0,-0.0008058410099854367,0.0003826014142411169,-0.00464786332650708,0.0027905107995489418,-0.049222594901460415,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_lesion_wise_dice,False,69,5,-0.002941049425257935,-0.0010703262020092114,-0.006344123037757479,0.0005071018991416365,-0.20187649477293912,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_false_positive_lesion_count,False,74,0,2.805405405405406,1.8000000000000007,1.967567567567568,3.718986486486487,0.733782161128387,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_false_positive_lesion_count,False,74,0,-0.5756756756756756,-0.4999999999999999,-0.927027027027027,-0.235135135135135,-0.3733096203290188,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_false_positive_lesion_count,False,74,0,-0.4108108108108108,-0.19999999999999984,-0.7351351351351351,-0.08648648648648644,-0.2825558847233382,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,wt_relative_volume_error,False,74,0,0.04194910695680476,0.031797938645984555,0.03409550597224215,0.05052131721309798,1.158612944484153,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,tc_relative_volume_error,False,74,0,-0.00035699013524163767,0.0004007682100482003,-0.0078088272403782225,0.0070078430280071345,-0.0108462330764869,,,False
bunet_vs_unet_res,multiplicity_controlled_secondary,bunet,unet_res,et_relative_volume_error,False,69,5,-0.008311715203197545,-0.013802359256904664,-0.025778525513503722,0.01820113169069875,-0.08652519995411218,,,False
